,PCR,ENet+H,RF,NN2,NN4
divomit,0.0,0.0,0.3140798403190243,0.0101768235,0.005519208
streversal,0.031111405308797246,0.22013309957253108,0.004332623441885175,0.016611617,0.013044468
momseason,0.1544317203945191,0.06972765534318671,0.00023168628898535598,0.012365633,0.0057102726
cf,0.07516383133646654,0.10791578055276899,0.0020168876300714275,0.014700704,0.012049831
announcementreturn,0.04425100946581055,0.0983136771530252,9.073093400496541e-06,0.012357101,0.009001063
momseasonshort,0.10448798570199246,0.032861713204270705,0.00014654663077360729,0.012593883,0.0081967395
divinit,0.0,0.0,0.143100579013766,0.0014365359,0.012432336
mom12m,0.05322036142185742,0.06304104701567324,0.006437154118632659,0.01308963,0.014263098
mrreversal,0.058085655656318264,0.05563367482559442,0.0023610081953143233,0.008455808,0.015696708
intmom,0.08138611239822599,0.03145235537835632,0.0009996987034181883,0.009282595,0.012949937
spinoff,0.005692725226716092,0.0,0.10425692018750286,0.0077891788,0.010802528
price,0.0,0.06694564759638626,0.019149960981144916,0.009653612,0.009925335
gp,0.02654398623154829,0.06066602636758985,0.000249185037051884,0.0050515616,0.007620416
rdipo,0.0,0.0,0.0817782028177944,0.0011304421,0.0002772062
chtax,0.0238962070563315,0.032967317695740815,8.49546031040822e-05,0.01975901,0.0052028126
indipo,0.01002846362613358,0.0,0.037333538315244136,0.008562417,0.012521733
mom12moffseason,0.023002581584695838,0.0,0.013282725224918555,0.020804377,0.009687568
am,0.0,0.0,0.0036818923407193533,0.013489168,0.048833366
credratdg,0.001026014430396505,0.0,0.04230896576084746,0.010041368,0.011642536
shareiss1y,0.019461176937843383,0.02688171224045334,0.0004269998760744009,0.0053435983,0.007306024
equityduration,0.016978883961077645,0.01633608979470392,0.00034754789478791566,0.00995158,0.012416685
betavix,0.025087707685179057,0.006467574956828398,0.0003533810021752984,0.01326815,0.009440912
roe,0.03200503078043291,0.0,0.0001664650575058129,0.010924953,0.010158969
exchswitch,0.0,0.0,0.04010633356037212,0.0042595533,0.0058151954
volmkt,0.0,0.0,0.007823571093663634,0.019240025,0.021633228
convdebt,0.008671476798834976,0.0,0.027611899806642397,0.0060191657,0.006150873
firmage,0.0,0.0,0.0004381307037809967,0.012329067,0.035549507
netequityfinance,0.02459124908982591,0.0,2.679795060216106e-05,0.016942576,0.006588593
coskewness,0.011186867015290924,0.014752106356741975,0.0006382012554941041,0.009236197,0.012202958
zerotrade12m,0.009896074667372742,0.0,0.0010241212191856672,0.013816714,0.018508336
volsd,0.006420864499900709,0.011895148635677564,7.189407861681782e-05,0.010119863,0.01414578
coskewacx,0.021380816839875555,0.003881116726203725,0.00048466821420048385,0.009794592,0.007060996
dnoa,0.0,0.0166554996471408,0.0005812738922644173,0.012279826,0.011548631
illiquidity,0.0,0.0,0.0014057625352425762,0.01894295,0.020515263
sp,0.005295558350433574,0.0,0.012463995847113106,0.0133303115,0.009449051
size_crsp,0.0,0.0,0.001856460123201957,0.013844504,0.02365493
opleverage,0.0027801681339776263,0.013138613754038667,0.0001877093421317378,0.012954663,0.010168735
maxret,0.013338187595154564,0.0,0.002943576421114459,0.014125652,0.008423864
high52,0.003243529489640564,0.0,0.019389419124412888,0.006116755,0.009611318
zerotrade6m,0.011716422850334283,0.0,0.0016419818922285849,0.015148428,0.008792595
bpebm,0.0009598199510160852,0.0,0.002781803511154086,0.010733269,0.022806408
realizedvol,0.0,0.0,0.0073563716074014655,0.014606122,0.014111474
pricedelaytstat,0.010458727742106308,0.0020110059228247977,0.0003941030056204451,0.008667156,0.013020429
leverage,0.0,0.0,0.0062627126189440906,0.013579201,0.014275869
xfin,0.010591116700867148,0.005924687521897096,0.00041766456112060787,0.0103498995,0.006681621
pricedelayslope,0.01032633878334547,0.0,5.4705954902573286e-05,0.008772871,0.01454043
size,0.0,0.0,0.006097758855927988,0.014851192,0.01263592
volumetrend,0.0027470708942874166,0.01726200785992787,5.575115779165702e-05,0.006934928,0.005964566
betafp,0.0,0.0,0.0061236237294506795,0.01373757,0.012868929
sharerepurchase,0.004468127358178328,0.0,0.014043557981784085,0.007845408,0.0055481307
beta,0.0,0.0,0.00562815214159949,0.0122721065,0.013841655
numearnincrease,0.003839279804064341,0.004659785441078695,0.010897515933118884,0.006279512,0.0049550296
returnskew3f,0.0,0.014539529638922244,7.007624439752655e-06,0.009912008,0.0059271296
idiovol3f,0.0,0.0,0.0094852960806061,0.0084475195,0.0122589255
cheq,0.0,0.0,3.7871406250500664e-05,0.023550201,0.006540514
pricedelayrsq,0.011617131131263652,0.0,0.0004492258086443827,0.009057025,0.008986539
ebm,0.0,0.0,0.0,0.012146403,0.016427286
momoffseason,0.0,0.005937126798437321,0.002323935019411369,0.00834855,0.01165418
assetgrowth,0.0,0.0,0.0006725877640003416,0.0128114065,0.014188851
idiovolaht,0.0,0.0,0.008076476844961917,0.009145758,0.008847185
tax,0.01194810352816575,0.0,0.00021177858366734588,0.008196518,0.0056008426
bookleverage,0.0,0.0,0.00011760149681708091,0.013388166,0.011960809
mom6m,0.0,0.0,0.004563274752977032,0.011323923,0.009352893
bmdec,0.0,0.0,0.0005484127008684686,0.01088725,0.013437114
noa,0.0,0.0,6.186136486310648e-05,0.010936654,0.013859685
dolvol,0.0,0.0,0.0003116554793352332,0.008746301,0.01565151
rds,0.0033428212087111935,0.0,0.0003117630549188231,0.014252168,0.0063388073
bidaskspread,0.0,0.0,0.009163206018978094,0.007829807,0.007222261
chinv,0.006255378301449659,0.0,4.837861459677942e-05,0.010574575,0.007301016
chnwc,0.0,0.0,0.00013564106362782305,0.013890333,0.009804386
residualmomentum,0.0,0.0,0.0,0.010006103,0.01381436
pctacc,0.0035414046468524524,0.0,0.00025115275558834784,0.01067127,0.009344503
delcoa,0.0,0.0,4.3056277991123475e-06,0.011415662,0.01172392
delfinl,0.0,0.0,0.00010677473930516002,0.013086705,0.00947309
delcol,0.003375918448401403,0.0,2.1088250537222365e-05,0.011521458,0.0068878355
bm,0.0,0.0,0.0001191334412732457,0.008566804,0.0123524545
